INDEX_,DATE_TIME,SEASON,YEAR,MONTH,MONTH_NAME,DAY_NAME,HOUR,HOUR_INTERVAL,ACCNUM,INVTYPE,INVAGE,INJURY,DISTRICT,NEIGHBOURHOOD,VEHTYPE,VEHICLE_CATEGORY,ALCOHOL
3387730,2006-03-11 08:52:00,Winter,2006,3,March,Saturday,08,08:00 to 08:59,892658,Driver,unknown,None,Toronto and East York,High Park North (88),"Automobile, Station Wagon",Automobile,<Null>
3387731,2006-03-11 08:52:00,Winter,2006,3,March,Saturday,08,08:00 to 08:59,892658,Pedestrian,65 to 69,Fatal,Toronto and East York,High Park North (88),Other,Other,<Null>
3388101,2006-03-11 09:15:00,Winter,2006,3,March,Saturday,09,09:00 to 09:59,892810,Motorcycle Driver,45 to 49,Fatal,Scarborough,Rouge (131),Motorcycle,Recreational,<Null>
3388102,2006-03-11 09:15:00,Winter,2006,3,March,Saturday,09,09:00 to 09:59,892810,Driver,unknown,None,Scarborough,Rouge (131),"Automobile, Station Wagon",Automobile,<Null>
3387793,2006-03-12 02:40:00,Winter,2006,3,March,Sunday,02,02:00 to 02:59,892682,Driver,25 to 29,None,Scarborough,Eglinton East (138),"Automobile, Station Wagon",Automobile,Yes
3387794,2006-03-12 02:40:00,Winter,2006,3,March,Sunday,02,02:00 to 02:59,892682,Pedestrian,30 to 34,Minor,Scarborough,Eglinton East (138),Other,Other,Yes
3387795,2006-03-12 02:40:00,Winter,2006,3,March,Sunday,02,02:00 to 02:59,892682,Pedestrian,40 to 44,Fatal,Scarborough,Eglinton East (138),Other,Other,Yes
3388371,2006-03-12 19:03:00,Winter,2006,3,March,Sunday,19,19:00 to 19:59,892913,Driver,30 to 34,None,Toronto and East York,Trinity-Bellwoods (81),"Automobile, Station Wagon",Automobile,Yes
3388372,2006-03-12 19:03:00,Winter,2006,3,March,Sunday,19,19:00 to 19:59,892913,Pedestrian,25 to 29,Major,Toronto and East York,Trinity-Bellwoods (81),Other,Other,Yes
3389258,2006-03-15 15:35:00,Winter,2006,3,March,Wednesday,15,15:00 to 15:59,893251,Driver,40 to 44,None,Etobicoke York,Kingsview Village-The Westway (6),"Automobile, Station Wagon",Automobile,<Null>
3389259,2006-03-15 15:35:00,Winter,2006,3,March,Wednesday,15,15:00 to 15:59,893251,Pedestrian,20 to 24,Fatal,Etobicoke York,Kingsview Village-The Westway (6),Other,Other,<Null>
3398172,2006-03-16 09:25:00,Winter,2006,3,March,Thursday,09,09:00 to 09:59,896606,Passenger,55 to 59,Major,Scarborough,Steeles (116),Other,Other,<Null>
3398173,2006-03-16 09:25:00,Winter,2006,3,March,Thursday,09,09:00 to 09:59,896606,Vehicle Owner,unknown,None,Scarborough,Steeles (116),Other,Other,<Null>
3398174,2006-03-16 09:25:00,Winter,2006,3,March,Thursday,09,09:00 to 09:59,896606,Passenger,0 to 4,Minor,Scarborough,Steeles (116),Other,Other,<Null>
3398175,2006-03-16 09:25:00,Winter,2006,3,March,Thursday,09,09:00 to 09:59,896606,Driver,25 to 29,Minor,Scarborough,Steeles (116),"Automobile, Station Wagon",Automobile,<Null>
3398176,2006-03-16 09:25:00,Winter,2006,3,March,Thursday,09,09:00 to 09:59,896606,Driver,65 to 69,Major,Scarborough,Steeles (116),"Automobile, Station Wagon",Automobile,<Null>
3398177,2006-03-16 09:25:00,Winter,2006,3,March,Thursday,09,09:00 to 09:59,896606,Vehicle Owner,unknown,None,Scarborough,Steeles (116),Other,Other,<Null>
3398178,2006-03-16 09:25:00,Winter,2006,3,March,Thursday,09,09:00 to 09:59,896606,Driver,35 to 39,None,Scarborough,Steeles (116),"Automobile, Station Wagon",Automobile,<Null>
3398179,2006-03-16 09:25:00,Winter,2006,3,March,Thursday,09,09:00 to 09:59,896606,Vehicle Owner,unknown,None,Scarborough,Steeles (116),Other,Other,<Null>
3398180,2006-03-16 09:25:00,Winter,2006,3,March,Thursday,09,09:00 to 09:59,896606,Driver,25 to 29,Major,Scarborough,Steeles (116),"Automobile, Station Wagon",Automobile,<Null>
3393765,2006-03-16 17:10:00,Winter,2006,3,March,Thursday,17,17:00 to 17:59,894953,Driver,25 to 29,None,Toronto and East York,Moss Park (73),"Automobile, Station Wagon",Automobile,<Null>
3393766,2006-03-16 17:10:00,Winter,2006,3,March,Thursday,17,17:00 to 17:59,894953,Pedestrian,60 to 64,Major,Toronto and East York,Moss Park (73),Other,Other,<Null>
3400106,2006-03-17 06:42:00,Winter,2006,3,March,Friday,06,06:00 to 06:59,897335,Driver,40 to 44,None,Toronto and East York,Dovercourt-Wallace Emerson-Junction (93),"Automobile, Station Wagon",Automobile,<Null>
3400107,2006-03-17 06:42:00,Winter,2006,3,March,Friday,06,06:00 to 06:59,897335,Pedestrian,50 to 54,Major,Toronto and East York,Dovercourt-Wallace Emerson-Junction (93),Other,Other,<Null>
3400137,2006-03-17 15:54:00,Winter,2006,3,March,Friday,15,15:00 to 15:59,897348,Driver,40 to 44,None,Toronto and East York,Annex (95),"Automobile, Station Wagon",Automobile,<Null>
3400138,2006-03-17 15:54:00,Winter,2006,3,March,Friday,15,15:00 to 15:59,897348,Pedestrian,20 to 24,Major,Toronto and East York,Annex (95),Other,Other,<Null>
3390469,2006-03-18 03:43:00,Winter,2006,3,March,Saturday,03,03:00 to 03:59,893720,Driver,25 to 29,None,North York,Willowdale East (51),"Automobile, Station Wagon",Automobile,<Null>
3390470,2006-03-18 03:43:00,Winter,2006,3,March,Saturday,03,03:00 to 03:59,893720,Passenger,15 to 19,Minimal,North York,Willowdale East (51),Other,Other,<Null>
3390471,2006-03-18 03:43:00,Winter,2006,3,March,Saturday,03,03:00 to 03:59,893720,Passenger,20 to 24,Major,North York,Willowdale East (51),Other,Other,<Null>
3390472,2006-03-18 03:43:00,Winter,2006,3,March,Saturday,03,03:00 to 03:59,893720,Passenger,15 to 19,Major,North York,Willowdale East (51),Other,Other,<Null>
3390473,2006-03-18 03:43:00,Winter,2006,3,March,Saturday,03,03:00 to 03:59,893720,Vehicle Owner,unknown,None,North York,Willowdale East (51),Other,Other,<Null>
3390474,2006-03-18 03:43:00,Winter,2006,3,March,Saturday,03,03:00 to 03:59,893720,Driver,15 to 19,Minimal,North York,Willowdale East (51),"Automobile, Station Wagon",Automobile,<Null>
3429049,2006-03-18 21:20:00,Winter,2006,3,March,Saturday,21,21:00 to 21:59,908179,Driver,25 to 29,None,North York,York University Heights (27),"Automobile, Station Wagon",Automobile,Yes
3429050,2006-03-18 21:20:00,Winter,2006,3,March,Saturday,21,21:00 to 21:59,908179,Driver,20 to 24,Major,North York,York University Heights (27),"Automobile, Station Wagon",Automobile,Yes
3400441,2006-03-19 02:07:00,Winter,2006,3,March,Sunday,02,02:00 to 02:59,897456,Passenger,25 to 29,Major,Toronto and East York,Weston-Pellam Park (91),Other,Other,<Null>
3400442,2006-03-19 02:07:00,Winter,2006,3,March,Sunday,02,02:00 to 02:59,897456,Driver,25 to 29,Minor,Toronto and East York,Weston-Pellam Park (91),"Automobile, Station Wagon",Automobile,<Null>
3400443,2006-03-19 02:07:00,Winter,2006,3,March,Sunday,02,02:00 to 02:59,897456,Other Property Owner,unknown,None,Toronto and East York,Weston-Pellam Park (91),Other,Other,<Null>
3402266,2006-03-19 17:43:00,Winter,2006,3,March,Sunday,17,17:00 to 17:59,898163,Driver,25 to 29,Major,Scarborough,Steeles (116),"Automobile, Station Wagon",Automobile,<Null>
3402267,2006-03-19 17:43:00,Winter,2006,3,March,Sunday,17,17:00 to 17:59,898163,Driver,40 to 44,Minor,Scarborough,Steeles (116),"Automobile, Station Wagon",Automobile,<Null>
3402268,2006-03-19 17:43:00,Winter,2006,3,March,Sunday,17,17:00 to 17:59,898163,Passenger,80 to 84,Major,Scarborough,Steeles (116),Other,Other,<Null>
3402269,2006-03-19 17:43:00,Winter,2006,3,March,Sunday,17,17:00 to 17:59,898163,Passenger,50 to 54,Minor,Scarborough,Steeles (116),Other,Other,<Null>
3402270,2006-03-19 17:43:00,Winter,2006,3,March,Sunday,17,17:00 to 17:59,898163,Driver,50 to 54,Major,Scarborough,Steeles (116),"Automobile, Station Wagon",Automobile,<Null>
3402271,2006-03-19 17:43:00,Winter,2006,3,March,Sunday,17,17:00 to 17:59,898163,Driver,20 to 24,None,Scarborough,Steeles (116),"Automobile, Station Wagon",Automobile,<Null>
3391145,2006-03-20 07:55:00,Winter,2006,3,March,Monday,07,07:00 to 07:59,893964,Driver,20 to 24,None,Scarborough,Woburn (137),"Automobile, Station Wagon",Automobile,<Null>
3391146,2006-03-20 07:55:00,Winter,2006,3,March,Monday,07,07:00 to 07:59,893964,Pedestrian,60 to 64,Major,Scarborough,Woburn (137),Other,Other,<Null>
3391328,2006-03-20 21:00:00,Winter,2006,3,March,Monday,21,21:00 to 21:59,894030,Passenger,20 to 24,Minimal,Etobicoke York,Brookhaven-Amesbury (30),Other,Other,<Null>
3391329,2006-03-20 21:00:00,Winter,2006,3,March,Monday,21,21:00 to 21:59,894030,Driver,25 to 29,Major,Etobicoke York,Brookhaven-Amesbury (30),"Automobile, Station Wagon",Automobile,<Null>
3391330,2006-03-20 21:00:00,Winter,2006,3,March,Monday,21,21:00 to 21:59,894030,Driver,30 to 34,None,Etobicoke York,Brookhaven-Amesbury (30),"Automobile, Station Wagon",Automobile,<Null>
3392380,2006-03-22 14:35:00,Spring,2006,3,March,Wednesday,14,14:00 to 14:59,894423,Driver,50 to 54,None,Etobicoke York,Maple Leaf (29),"Automobile, Station Wagon",Automobile,<Null>
3392381,2006-03-22 14:35:00,Spring,2006,3,March,Wednesday,14,14:00 to 14:59,894423,Driver,70 to 74,Major,Etobicoke York,Maple Leaf (29),"Automobile, Station Wagon",Automobile,<Null>
3392382,2006-03-22 14:35:00,Spring,2006,3,March,Wednesday,14,14:00 to 14:59,894423,Other,unknown,None,Etobicoke York,Maple Leaf (29),Other,Other,<Null>
3403887,2006-03-25 11:39:00,Spring,2006,3,March,Saturday,11,11:00 to 11:59,898778,Vehicle Owner,unknown,None,Etobicoke York,Rockcliffe-Smythe (111),Other,Other,<Null>
3403888,2006-03-25 11:39:00,Spring,2006,3,March,Saturday,11,11:00 to 11:59,898778,Passenger,40 to 44,Minor,Etobicoke York,Rockcliffe-Smythe (111),Other,Other,<Null>
3403889,2006-03-25 11:39:00,Spring,2006,3,March,Saturday,11,11:00 to 11:59,898778,Driver,45 to 49,None,Etobicoke York,Rockcliffe-Smythe (111),"Automobile, Station Wagon",Automobile,<Null>
3403890,2006-03-25 11:39:00,Spring,2006,3,March,Saturday,11,11:00 to 11:59,898778,Vehicle Owner,unknown,None,Etobicoke York,Rockcliffe-Smythe (111),Other,Other,<Null>
3403891,2006-03-25 11:39:00,Spring,2006,3,March,Saturday,11,11:00 to 11:59,898778,Driver,15 to 19,Major,Etobicoke York,Rockcliffe-Smythe (111),"Automobile, Station Wagon",Automobile,<Null>
3393203,2006-03-25 18:50:00,Spring,2006,3,March,Saturday,18,18:00 to 18:59,894735,Driver,unknown,None,Toronto and East York,South Riverdale (70),"Automobile, Station Wagon",Automobile,<Null>
3393204,2006-03-25 18:50:00,Spring,2006,3,March,Saturday,18,18:00 to 18:59,894735,Pedestrian,25 to 29,Major,Toronto and East York,South Riverdale (70),Other,Other,<Null>
3404789,2006-03-26 16:14:00,Spring,2006,3,March,Sunday,16,16:00 to 16:59,899126,Driver,35 to 39,Major,Toronto and East York,Corso Italia-Davenport (92),"Automobile, Station Wagon",Automobile,<Null>
3404790,2006-03-26 16:14:00,Spring,2006,3,March,Sunday,16,16:00 to 16:59,899126,Other Property Owner,unknown,None,Toronto and East York,Corso Italia-Davenport (92),Other,Other,<Null>
3404791,2006-03-26 16:14:00,Spring,2006,3,March,Sunday,16,16:00 to 16:59,899126,Other Property Owner,unknown,None,Toronto and East York,Corso Italia-Davenport (92),Other,Other,<Null>
3405461,2006-03-31 16:40:00,Spring,2006,3,March,Friday,16,16:00 to 16:59,899369,Driver,45 to 49,None,Toronto and East York,Annex (95),"Automobile, Station Wagon",Automobile,<Null>
3405462,2006-03-31 16:40:00,Spring,2006,3,March,Friday,16,16:00 to 16:59,899369,Pedestrian,70 to 74,Major,Toronto and East York,Annex (95),Other,Other,<Null>
3405922,2006-04-01 22:05:00,Spring,2006,4,April,Saturday,22,22:00 to 22:59,899537,Vehicle Owner,unknown,<Null>,Etobicoke York,Mount Dennis (115),Other,Other,<Null>
3405923,2006-04-01 22:05:00,Spring,2006,4,April,Saturday,22,22:00 to 22:59,899537,Passenger,30 to 34,Major,Etobicoke York,Mount Dennis (115),Other,Other,<Null>
3405924,2006-04-01 22:05:00,Spring,2006,4,April,Saturday,22,22:00 to 22:59,899537,Driver,30 to 34,None,Etobicoke York,Mount Dennis (115),"Automobile, Station Wagon",Automobile,<Null>
3405925,2006-04-01 22:05:00,Spring,2006,4,April,Saturday,22,22:00 to 22:59,899537,Vehicle Owner,unknown,<Null>,Etobicoke York,Mount Dennis (115),Other,Other,<Null>
3405926,2006-04-01 22:05:00,Spring,2006,4,April,Saturday,22,22:00 to 22:59,899537,Driver,30 to 34,None,Etobicoke York,Mount Dennis (115),"Automobile, Station Wagon",Automobile,<Null>
3395425,2006-04-01 23:44:00,Spring,2006,4,April,Saturday,23,23:00 to 23:59,895615,Driver,50 to 54,Minimal,Toronto and East York,Waterfront Communities-The Island (77),"Automobile, Station Wagon",Automobile,<Null>
3395426,2006-04-01 23:44:00,Spring,2006,4,April,Saturday,23,23:00 to 23:59,895615,Passenger,25 to 29,Minimal,Toronto and East York,Waterfront Communities-The Island (77),Other,Other,<Null>
