,ACCNUM,ACCLASS,INVOLVED,MOTIVE,X,Y,LATITUDE,LONGITUDE,DATE_TIME,ROAD_CLASS,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,IMPACTYPE,DISTRICT,NEIGHBOURHOOD,HOOD_ID,LOCCOORD,PEOPLE_COUNT,FATAL_INJURY_COUNT,MAJOR_INJURY_COUNT,MINOR_INJURY_COUNT,NO_INJURY_COUNT,NULL_INJURY_COUNT,DRIVERS_COUNT,PEDESTRIAN_COUNT,PASSENGER_COUNT,CYCLIST_COUNT,PEOPLE_VEH_COUNT,AUTOMOBILE_VEH_COUNT,RECREATIONAL_VEH_COUNT,OTHER_VEH_COUNT,REDLIGHT_CAMERA,DATE,DATA_TYPE,CAMERA_ID,CAMERA_DATE_TIME,CAMERA_DATE
0,25301.0,Non-Fatal Injury,"Pedestrian, Automobile",Not Recorded,-8836220.13375861,5420822.06713029,43.710967,-79.377116,2020-01-04 18:50:00,Major Arterial,Intersection Related,Traffic Signal,Rain,Dark,Wet,Pedestrian Collisions,North York,Leaside-Bennington (56),56,Intersection,2,0,1,0,1,0,1,1,0,0,0,1,0,1,False,2020-01,Accident,,,
1,26294.0,Fatal,"Pedestrian, Automobile",Not Recorded,-8836046.92063093,5412909.80489157,43.659568,-79.37556,2020-01-04 22:14:00,Major Arterial,Non Intersection,No Control,Clear,"Dark, artificial",Dry,Pedestrian Collisions,Toronto and East York,Moss Park (73),73,Mid-Block,2,1,0,0,1,0,1,1,0,0,0,1,0,1,False,2020-01,Accident,,,
2,37330.0,Non-Fatal Injury,"Pedestrian, Automobile",Aggressive and Distracted Driving Collision,-8842513.46985112,5411391.36554583,43.649699,-79.43365,2020-01-06 15:55:00,Minor Arterial,At Intersection,Traffic Signal,Clear,"Dawn, artificial",Dry,Pedestrian Collisions,Toronto East York,Little Portugal (84),84,Intersection,2,0,1,0,1,0,1,1,0,0,0,1,0,1,False,2020-01,Accident,,,
3,45664.0,Non-Fatal Injury,Automobile,Aggressive and Distracted Driving Collision,-8827355.20610929,5423072.34041129,43.725577,-79.297481,2020-01-07 18:50:00,Major Arterial,At Intersection,Traffic Signal,Clear,Dark,Dry,Turning Movement,Scarborough,Clairlea-Birchmount (120),120,Intersection,3,0,1,1,1,0,2,0,1,0,0,2,0,1,False,2020-01,Accident,,,
4,56815.0,Non-Fatal Injury,Automobile,"Speeding  Related Collision, Red Light Related  Collision, Aggressive and Distracted Driving Collision",-8858313.93573533,5419422.12260201,43.701876,-79.575588,2020-01-09 11:00:00,Major Arterial,At Intersection,Traffic Signal,Clear,Daylight,Dry,Angle,Etobicoke York,West Humber-Clairville (1),1,Intersection,4,0,1,0,3,0,4,0,0,0,0,3,0,1,True,2020-01,Accident,178.0,2021-07-29 04:00:00,2021-07
5,66893.0,Non-Fatal Injury,"Pedestrian, Automobile",Aggressive and Distracted Driving Collision,-8832998.77033403,5416160.92584767,43.680693,-79.348178,2020-01-10 17:21:00,Collector,At Intersection,Stop Sign,Rain,"Dark, artificial",Wet,SMV Other,Toronto and East York,Playter Estates-Danforth (67),67,Intersection,2,0,1,0,1,0,1,1,0,0,0,1,0,1,False,2020-01,Accident,,,
6,73153.0,Non-Fatal Injury,"Pedestrian, Automobile",Not Recorded,-8838540.4772247,5409796.41902989,43.639331,-79.39796,2020-01-11 16:25:00,Local,Intersection Related,Traffic Signal,Rain,Dark,Wet,SMV Other,Toronto East York,Waterfront Communities-The Island (77),77,Intersection,2,0,1,0,1,0,1,1,0,0,0,1,0,1,False,2020-01,Accident,,,
7,74293.0,Non-Fatal Injury,"Pedestrian, Automobile",Aggressive and Distracted Driving Collision,-8850203.86555308,5417898.60946975,43.691981,-79.502734,2020-01-11 19:38:00,Minor Arterial,At Intersection,No Control,Rain,"Dark, artificial",Wet,Pedestrian Collisions,Etobicoke York,Mount Dennis (115),115,Intersection,2,0,1,0,1,0,1,1,0,0,0,1,0,1,False,2020-01,Accident,,,
8,75272.0,Non-Fatal Injury,"Pedestrian, Automobile",Not Recorded,-8843062.94285767,5415890.32736652,43.678935,-79.438586,2020-01-11 22:57:00,Major Arterial,At Intersection,Traffic Signal,Rain,"Dark, artificial",Wet,Pedestrian Collisions,Etobicoke York,Corso Italia-Davenport (92),92,Intersection,5,0,1,0,4,0,1,1,3,0,0,1,0,4,False,2020-01,Accident,,,
9,76304.0,Non-Fatal Injury,"Pedestrian, Automobile",Not Recorded,-8837506.87575269,5410498.78921827,43.643897,-79.388675,2020-01-12 03:30:00,Minor Arterial,At Intersection,Traffic Signal,Rain,"Dark, artificial",Wet,Pedestrian Collisions,Toronto East York,Waterfront Communities-The Island (77),77,Intersection,2,0,1,1,0,0,1,1,0,0,0,1,0,1,False,2020-01,Accident,,,
