,ACCNUM,ACCLASS,INVOLVED,MOTIVE,X,Y,LATITUDE,LONGITUDE,DATE_TIME,SEASON,YEAR,MONTH,MONTH_NAME,DAY_NAME,HOUR,HOUR_INTERVAL,ROAD_CLASS,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,IMPACTYPE,DISTRICT,NEIGHBOURHOOD,HOOD_ID,LOCCOORD,PEOPLE_COUNT,FATAL_INJURY_COUNT,MAJOR_INJURY_COUNT,MINOR_INJURY_COUNT,NO_INJURY_COUNT,NULL_INJURY_COUNT,DRIVERS_COUNT,PEDESTRIAN_COUNT,PASSENGER_COUNT,CYCLIST_COUNT,OTHER_INVTYPE_COUNT,NULL_INVTYPE_COUNT,PEOPLE_VEH_COUNT,AUTOMOBILE_VEH_COUNT,RECREATIONAL_VEH_COUNT,OTHER_VEH_COUNT,NULL_VEH_COUNT,PEDESTRIAN,Season,Weekday,Hour
754,977199,Fatal,"Pedestrian, Automobile, City Vehicle",Not Recorded,-8838424.92759326,5417210.30109394,43.68751,-79.396922,2013-11-15 14:40:00,Autumn,2013,11,November,Friday,14,14:00 to 14:59,Major Arterial,<Null>,No Control,Clear,Daylight,Dry,Pedestrian Collisions,Toronto and East York,Yonge-St.Clair (97),97,Mid-Block,6,1,0,0,5,0,2,1,3,0,0,0,0,1,0,1,0,1,Autumn,4,14
3137,1334928,Fatal,"Automobile, City Vehicle","Speeding  Related Collision, Red Light Related  Collision, Aggressive and Distracted Driving Collision",-8818183.59326283,5437434.95754804,43.818743,-79.215091,2013-01-10 18:51:00,Winter,2013,1,January,Thursday,18,18:00 to 18:59,Minor Arterial,At Intersection,Traffic Signal,Clear,Dark,Dry,Turning Movement,Scarborough,Rouge (131),131,Intersection,3,1,0,0,1,1,2,0,0,0,1,0,0,1,0,1,0,0,Winter,3,18
3142,1335553,Fatal,"Pedestrian, Automobile",Not Recorded,-8837731.07320715,5416030.08941456,43.679843,-79.390689,2013-01-15 14:38:00,Winter,2013,1,January,Tuesday,14,14:00 to 14:59,Major Arterial,At Intersection,Stop Sign,Clear,Daylight,Dry,Pedestrian Collisions,Toronto and East York,Rosedale-Moore Park (98),98,Intersection,4,1,0,0,2,1,1,1,1,0,1,0,0,1,0,0,0,1,Winter,1,14
3149,1336921,Fatal,"Pedestrian, City Vehicle","Red Light Related  Collision, Aggressive and Distracted Driving Collision",-8825485.92921988,5423652.94143751,43.729346,-79.280689,2013-01-23 15:56:00,Winter,2013,1,January,Wednesday,15,15:00 to 15:59,Major Arterial,At Intersection,Traffic Signal,Clear,Daylight,Dry,Pedestrian Collisions,Scarborough,Clairlea-Birchmount (120),120,Intersection,3,1,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,1,Winter,2,15
3163,1338700,Fatal,"Pedestrian, Automobile",Aggressive and Distracted Driving Collision,-8824317.29720554,5420972.37629366,43.711943,-79.270191,2013-02-02 10:41:00,Winter,2013,2,February,Saturday,10,10:00 to 10:59,Minor Arterial,<Null>,No Control,Snow,Daylight,Wet,Pedestrian Collisions,Scarborough,Clairlea-Birchmount (120),120,Mid-Block,2,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,Winter,5,10
3171,1339180,Fatal,"Pedestrian, Truck",Not Recorded,-8842517.69999177,5411398.44250374,43.649745,-79.433688,2013-02-06 10:45:00,Winter,2013,2,February,Wednesday,10,10:00 to 10:59,Minor Arterial,At Intersection,Traffic Signal,Clear,Daylight,Dry,Pedestrian Collisions,Toronto and East York,Little Portugal (84),84,Intersection,4,1,0,0,2,1,1,1,0,0,2,0,0,0,0,1,0,1,Winter,2,10
3200,1344588,Fatal,"Pedestrian, Automobile",Aggressive and Distracted Driving Collision,-8827778.99941074,5422420.15135839,43.721343,-79.301288,2013-03-05 21:28:00,Winter,2013,3,March,Tuesday,21,21:00 to 21:59,Major Arterial,<Null>,No Control,Clear,"Dark, artificial",Wet,Pedestrian Collisions,North York,Clairlea-Birchmount (120),120,Mid-Block,3,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,1,Winter,1,21
3205,1345175,Fatal,"Pedestrian, Truck",Aggressive and Distracted Driving Collision,-8822246.64335729,5419694.6724322,43.703646,-79.25159000000002,2013-03-07 15:45:00,Winter,2013,3,March,Thursday,15,15:00 to 15:59,Collector,<Null>,Stop Sign,Clear,Daylight,Wet,Pedestrian Collisions,Scarborough,Birchcliffe-Cliffside (122),122,Intersection,5,1,0,2,1,1,1,3,0,0,1,0,0,1,0,0,0,1,Winter,3,15
3228,1349359,Fatal,Automobile,"Speeding  Related Collision, Aggressive and Distracted Driving Collision",-8833033.61333465,5411475.21246072,43.650244,-79.34849100000002,2013-03-29 17:34:00,Spring,2013,3,March,Friday,17,17:00 to 17:59,Major Arterial,<Null>,No Control,Clear,Daylight,Dry,SMV Other,Toronto and East York,Waterfront Communities-The Island (77),77,Mid-Block,7,1,0,4,0,2,1,0,4,0,2,0,0,1,0,0,0,0,Spring,4,17
3240,1351471,Fatal,"Pedestrian, Automobile","Speeding  Related Collision, Aggressive and Distracted Driving Collision",-8852001.89796837,5428753.4487378,43.762446,-79.518886,2013-04-12 20:56:00,Spring,2013,4,April,Friday,20,20:00 to 20:59,Major Arterial,<Null>,No Control,Rain,"Dark, artificial",Wet,Pedestrian Collisions,Etobicoke York,Black Creek (24),24,Mid-Block,2,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,Spring,4,20
3241,1351606,Fatal,"Cyclist, Automobile","Speeding  Related Collision, Red Light Related  Collision, Alcohol  Related Collision, Aggressive and Distracted Driving Collision",-8825842.59686839,5430402.85671138,43.773146,-79.283893,2013-04-13 18:46:00,Spring,2013,4,April,Saturday,18,18:00 to 18:59,Major Arterial,At Intersection,Traffic Signal,Clear,Dusk,Dry,Cyclist Collisions,Scarborough,Dorset Park (126),126,Intersection,10,1,1,4,4,0,6,0,3,1,0,0,1,6,0,0,0,0,Spring,5,18
3246,1351850,Fatal,Automobile,Medical or Physical Disability Related Collision,-8840069.22779177,5420988.23898136,43.712046,-79.411693,2013-04-16 09:00:00,Spring,2013,4,April,Tuesday,9,09:00 to 09:59,Major Arterial,At Intersection,Traffic Signal,Clear,Daylight,Dry,SMV Other,North York,Lawrence Park South (103),103,Intersection,3,1,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,Spring,1,9
3247,1351876,Fatal,"Pedestrian, Truck",Not Recorded,-8840758.85203723,5423421.40526116,43.727843,-79.417888,2013-04-16 14:50:00,Spring,2013,4,April,Tuesday,14,14:00 to 14:59,Major Arterial,<Null>,Traffic Signal,Clear,Daylight,Dry,Pedestrian Collisions,North York,Bedford Park-Nortown (39),39,Intersection,3,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,1,Spring,1,14
3258,1354707,Fatal,"Pedestrian, Motorcycle",Not Recorded,-8836807.01011407,5412921.49918144,43.659644,-79.382388,2013-05-04 14:50:00,Spring,2013,5,May,Saturday,14,14:00 to 14:59,Major Arterial,<Null>,No Control,Clear,Daylight,Dry,Pedestrian Collisions,Toronto and East York,Church-Yonge Corridor (75),75,Mid-Block,3,1,1,1,0,0,1,2,0,0,0,0,0,0,1,0,0,1,Spring,5,14
3263,1355791,Fatal,"Pedestrian, City Vehicle",Not Recorded,-8829036.79833721,5414090.84903972,43.667243,-79.312587,2013-05-12 01:39:00,Spring,2013,5,May,Sunday,1,01:00 to 01:59,Major Arterial,At Intersection,Traffic Signal,Rain,"Dark, artificial",Wet,Pedestrian Collisions,Toronto and East York,The Beaches (63),63,Intersection,3,1,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,1,Spring,6,1
3268,1356635,Fatal,"Pedestrian, Automobile","Red Light Related  Collision, Aggressive and Distracted Driving Collision",-8839422.90682822,5425347.35304998,43.740344,-79.40588699999998,2013-05-16 12:31:00,Spring,2013,5,May,Thursday,12,12:00 to 12:59,Major Arterial,At Intersection,Traffic Signal,Clear,Daylight,Dry,Pedestrian Collisions,North York,Bridle Path-Sunnybrook-York Mills (41),41,Intersection,3,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,1,Spring,3,12
3282,1359618,Fatal,"Pedestrian, Automobile",Not Recorded,-8838498.84373515,5411721.21908447,43.651843,-79.397586,2013-06-06 23:06:00,Spring,2013,6,June,Thursday,23,23:00 to 23:59,Major Arterial,<Null>,No Control,Rain,"Dark, artificial",Wet,Pedestrian Collisions,Toronto and East York,Kensington-Chinatown (78),78,Intersection,3,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,1,Spring,3,23
3288,1361106,Fatal,Automobile,Not Recorded,-8841439.12544547,5409983.46641004,43.640547,-79.423999,2013-06-16 06:16:00,Spring,2013,6,June,Sunday,6,06:00 to 06:59,Local,<Null>,No Control,Rain,Daylight,Wet,SMV Other,Toronto and East York,South Parkdale (85),85,Mid-Block,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Spring,6,6
3306,1363537,Fatal,"Automobile, Motorcycle","Speeding  Related Collision, Aggressive and Distracted Driving Collision",-8825908.83196541,5433424.96773968,43.792746,-79.284488,2013-07-03 21:05:00,Summer,2013,7,July,Wednesday,21,21:00 to 21:59,Collector,<Null>,No Control,Clear,Dark,Dry,SMV Other,Scarborough,Agincourt South-Malvern West (128),128,Mid-Block,3,1,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,Summer,2,21
3312,1364079,Fatal,"Pedestrian, Automobile",Not Recorded,-8821556.128555901,5427689.81415176,43.755545,-79.245387,2013-07-05 22:48:00,Summer,2013,7,July,Friday,22,22:00 to 22:59,Major Arterial,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Pedestrian Collisions,Scarborough,Woburn (137),137,Intersection,2,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,Summer,4,22
3314,1364430,Fatal,"Pedestrian, City Vehicle",Not Recorded,-8823604.62982548,5434766.42411466,43.801444,-79.263789,2013-07-08 17:15:00,Summer,2013,7,July,Monday,17,17:00 to 17:59,Major Arterial,<Null>,Traffic Signal,Rain,Daylight,Wet,Pedestrian Collisions,Scarborough,Agincourt North (129),129,Intersection,3,1,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,1,Summer,0,17
3329,1366152,Fatal,"Pedestrian, Automobile",Aggressive and Distracted Driving Collision,-8813441.04899656,5431790.28354414,43.782145,-79.172488,2013-07-11 22:25:00,Summer,2013,7,July,Thursday,22,22:00 to 22:59,Minor Arterial,At Intersection,No Control,Clear,"Dark, artificial",Dry,Pedestrian Collisions,Scarborough,Centennial Scarborough (133),133,Intersection,3,1,0,1,1,0,1,2,0,0,0,0,0,1,0,0,0,1,Summer,3,22
3332,1366347,Fatal,"Pedestrian, Automobile",Aggressive and Distracted Driving Collision,-8836297.50080471,5410360.18763207,43.642996,-79.377811,2013-07-03 13:19:00,Summer,2013,7,July,Wednesday,13,13:00 to 13:59,Major Arterial,<Null>,Traffic Signal,Clear,Daylight,Dry,Pedestrian Collisions,Toronto and East York,Waterfront Communities-The Island (77),77,Intersection,12,1,3,6,1,1,2,7,2,0,1,0,0,2,0,0,0,1,Summer,2,13
3335,1366764,Fatal,"Pedestrian, Automobile",Not Recorded,-8825441.73538204,5416769.26264435,43.684645,-79.280292,2013-07-18 18:50:00,Summer,2013,7,July,Thursday,18,18:00 to 18:59,Collector,<Null>,No Control,Clear,Daylight,Dry,Pedestrian Collisions,Scarborough,Birchcliffe-Cliffside (122),122,Intersection,2,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,Summer,3,18
