ID,CAMERA_ID,INTERSECTION_ID,LINEAR_NAME_FULL_1,LINEAR_NAME_FULL_2,LONGITUDE,LATITUDE,ACTIVATION_TIME
1,20770,13465959.0,Richmond St E,Parliament St,-79.3640229982,43.6545590111,2007-11-09 05:00:00
5,20774,13451893.0,Albion Rd,Silverstone Dr,-79.6000939933,43.7429520013,2007-11-09 05:00:00
4,20773,13444138.0,Steeles Ave W,Hilda Ave,-79.4292670009,43.7960070063,2007-11-09 05:00:00
9,20778,13449607.0,Bathurst St,Sheppard Ave W,-79.4384810044,43.7554580029,2007-11-09 05:00:00
2,20771,13467993.0,Lake Shore Blvd W,York St,-79.3808680071,43.6414600022,2007-11-09 05:00:00
3,20772,13444656.0,Steeles Ave W,Carpenter Rd,-79.447588999,43.7920130014,2007-11-09 05:00:00
6,20775,13459576.0,Dixon Rd,Kipling Ave,-79.5586490059,43.6942490045,2008-03-18 04:00:00
28,20797,13443303.0,Kingston Rd,Port Union Rd,-79.1462229994,43.7989240015,2008-03-18 04:00:00
32,20801,13470261.0,Kipling Ave,Horner Ave,-79.5207509976,43.6072009968,2008-03-19 04:00:00
10,20779,13455749.0,Lawrence Ave W,Marlee Ave,-79.4465200053,43.7156150035,2008-03-19 04:00:00
38,20807,13464191.0,Lansdowne Ave,Dupont St,-79.4464609943,43.6667250003,2008-03-26 04:00:00
40,20809,13467689.0,Burnhamthorpe Rd,The East Mall,-79.5599919959,43.6463030043,2008-03-26 04:00:00
25,20794,13447843.0,Kennedy Rd,Ellesmere Rd,-79.281078007,43.7658020019,2008-03-28 04:00:00
15,20784,13448765.0,Bayview Ave,Truman Rd,-79.3866350029,43.7605860032,2008-03-31 04:00:00
42,20811,13460183.0,Jane St,Bala Ave,-79.5006009971,43.6901420046,2008-05-16 04:00:00
37,20806,13454197.0,Keele St,Wilson Ave,-79.4820690045,43.7266419991,2008-05-29 04:00:00
19,20788,13441677.0,Steeles Ave E,Brimley Rd,-79.2872019972,43.8282939976,2008-05-29 04:00:00
35,20804,13468807.0,Lake Shore Blvd W,Windermere Ave,-79.4681469969,43.6351890029,2008-05-29 04:00:00
13,20782,13452717.0,Leslie St,Lawrence Ave E,-79.3559789976,43.7345350021,2008-05-29 04:00:00
20,20789,13465757.0,College St,Bathurst St,-79.4077219983,43.6564810048,2008-08-11 04:00:00
21,20790,13447211.0,Morningside Ave,Lawrence Ave E,-79.1862250064,43.7684080038,2008-08-11 04:00:00
44,20813,,,,-79.3074270054,43.7124530075,2008-08-11 04:00:00
11,20780,13455135.0,Bathurst St,Lawrence Ave W,-79.4298159904,43.7192580018,2008-08-11 04:00:00
18,20787,13446799.0,Warden Ave,Arkona Dr,-79.30535601,43.7730890055,2008-08-11 04:00:00
16,20785,14038170.0,Midland Ave,McNicoll Ave,-79.2922180081,43.8145780077,2008-10-09 04:00:00
43,20812,13451997.0,Jane St,Clair Rd,-79.5136850048,43.7412400057,2008-10-09 04:00:00
26,20795,13444761.0,Leslie St,Finch Ave E,-79.3680670004,43.7900119962,2008-10-21 04:00:00
48,20817,13454488.0,Warden Ave,Comstock Rd,-79.2849930049,43.721532,2008-10-28 04:00:00
7,20776,13448601.0,Steeles Ave W,Islington Ave,-79.5748709931,43.7643430031,2008-10-28 04:00:00
24,20793,13456854.0,Overlea Blvd,Thorncliffe Park Dr,-79.3436250026,43.707473006,2008-10-29 04:00:00
30,20799,13470138.0,The Queensway,The West Mall,-79.5626769978,43.6123069968,2008-11-20 05:00:00
46,20815,13460559.0,Islington Ave,The Westway,-79.542872997,43.6886200015,2008-12-10 05:00:00
39,20808,13468197.0,Queen St W,Lansdowne Ave,-79.4369899987,43.6405599996,2009-01-21 05:00:00
36,20805,13442867.0,Warden Ave,McNicoll Ave,-79.3209749937,43.8063490022,2009-03-17 04:00:00
41,20810,13451388.0,Keele St,Sheppard Ave W,-79.4864519948,43.7447770044,2009-03-17 04:00:00
12,20781,13444532.0,Bayview Ave,Cummer Ave,-79.393596004,43.7922969999,2009-03-17 04:00:00
27,20796,13444601.0,Birchmount Rd,Huntingwood Dr,-79.3022949978,43.7904399965,2009-03-17 04:00:00
17,20786,13441903.0,Steeles Ave E,Birchmount Rd,-79.3169249962,43.821392004,2009-03-17 04:00:00
8,20777,13450231.0,Sheppard Ave W,Wilson Heights Blvd,-79.4567510019,43.751663001,2009-03-17 04:00:00
47,20816,13462422.0,Bathurst St,Davenport Rd,-79.4157860019,43.6767300085,2009-03-18 04:00:00
31,20800,13470661.0,Lake Shore Blvd W,Thirty Seventh St,-79.5381799941,43.5933960003,2009-03-19 04:00:00
29,20798,13468898.0,Bloor St W,The West Mall,-79.5623179959,43.635624994,2009-03-19 04:00:00
23,20792,13457150.0,Dufferin St,Glencairn Ave,-79.4531800072,43.706982004,2009-03-19 04:00:00
54,20823,13456952.0,Keele St,Lawrence Ave W,-79.4780619981,43.7086590072,2009-03-19 04:00:00
22,20791,13461025.0,Dixon Rd,Carlingview Dr,-79.5955659977,43.6867570036,2009-03-19 04:00:00
51,20820,13448868.0,Lawrence Ave E,Bellamy Rd N,-79.2352669931,43.7577210091,2009-04-01 04:00:00
45,20814,13458312.0,Danforth Ave,Birchmount Rd,-79.2639990061,43.6969930098,2009-04-01 04:00:00
33,20802,13470082.0,The Queensway,North Queen St,-79.5561539918,43.6142170047,2009-04-02 04:00:00
50,20819,13446743.0,Midland Ave,Progress Ave,-79.2729859942,43.7729650001,2009-04-16 04:00:00
68,20837,13443955.0,Sheppard Ave E,Malvern St,-79.2349310078,43.7946620094,2009-08-04 04:00:00
67,20836,13443509.0,Neilson Rd,Sheppard Ave E,-79.2176650081,43.7981220089,2009-08-04 04:00:00
14,20783,13449822.0,Leslie St,York Mills Rd,-79.3599699911,43.7529540025,2009-08-05 04:00:00
64,20833,,,,-79.4021950066,43.7251010003,2009-08-05 04:00:00
69,20838,13445757.0,Ellesmere Rd,Military Trl,-79.1883100064,43.7865780024,2009-08-05 04:00:00
61,20830,13465837.0,Lake Shore Blvd E,Carlaw Ave,-79.3374340022,43.6549600017,2009-08-06 04:00:00
60,20829,13467011.0,Lower Jarvis St,The Esplanade,-79.3709320014,43.6482249963,2009-08-06 04:00:00
59,20828,13465164.0,Lake Shore Blvd E,Leslie St,-79.3284359943,43.6592350041,2009-08-06 04:00:00
58,20827,13466630.0,King St E,Jarvis St,-79.3719129963,43.6504630011,2009-08-06 04:00:00
57,20826,13463494.0,Queen St E,Woodbine Ave,-79.3057750019,43.668757007,2009-08-06 04:00:00
63,20832,13465876.0,Dundas St W,Bloor St W,-79.4524529944,43.6563210073,2009-08-11 04:00:00
49,20818,13464080.0,Eastern Ave,Lower Coxwell Ave,-79.3162150009,43.6654930039,2009-08-13 04:00:00
53,20822,13454486.0,St Clair Ave E,Brimley Rd,-79.2414479981,43.7208750056,2009-08-21 04:00:00
34,20803,13453096.0,Wilson Ave,Transit Rd,-79.4528629934,43.7333830014,2009-08-21 04:00:00
62,20831,13461587.0,Rogers Rd,Keele St,-79.4715979979,43.6821360027,2009-09-08 04:00:00
66,20835,13452266.0,Lawrence Ave E,Don Mills Rd,-79.3434479955,43.7371730051,2009-09-10 04:00:00
56,20825,13461356.0,Danforth Ave,Greenwood Ave,-79.3323819969,43.6814840035,2010-01-07 05:00:00
65,20834,13457863.0,Eglinton Ave W,Spadina Rd,-79.4191080087,43.7023509956,2010-01-07 05:00:00
52,20821,13456762.0,Danforth Rd,Birchmount Rd,-79.268130006,43.7069980025,2010-02-25 05:00:00
55,20824,13464908.0,Bloor St W,Ossington Ave,-79.4256589977,43.6619839984,2011-11-22 05:00:00
84,20853,13455040.0,Wilson Ave,Jane St,-79.5086339938,43.720915002,2017-03-09 05:00:00
136,20905,13443095.0,Sheppard Ave E,Morningside Ave,-79.1997710049,43.8019740057,2017-03-10 05:00:00
112,20881,13450163.0,Lawrence Ave E,Kennedy Rd,-79.2749340071,43.7494969991,2017-03-10 05:00:00
111,20880,13446514.0,Ellesmere Rd,Bellamy Rd N,-79.2417590067,43.7743339999,2017-03-10 05:00:00
107,20876,13452053.0,Eglinton Ave E,Danforth Rd,-79.2461639921,43.7370970035,2017-03-10 05:00:00
105,20874,13442866.0,Finch Ave E,Brimley Rd,-79.2773999905,43.8057060076,2017-03-10 05:00:00
